VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,01/08/2019 12:57:26 AM,01/08/2019 01:18:15 AM,2,2.84,1,N,186,141,1,14.5,0,0.5,3.06,0,0.3,18.36
2,01/08/2019 05:34:33 AM,01/08/2019 05:42:35 AM,1,1.01,1,N,100,50,1,7,0,0.5,1.56,0,0.3,9.36
2,01/08/2019 06:04:05 AM,01/08/2019 06:22:20 AM,1,2.26,1,N,142,246,1,13.5,0,0.5,2.86,0,0.3,17.16
2,01/08/2019 06:24:07 AM,01/08/2019 01:53:33 PM,1,2.52,1,N,246,79,2,18.5,0,0.5,0,0,0.3,19.3
2,01/10/2019 06:22:07 AM,01/10/2019 06:29:06 AM,1,2,1,N,162,236,1,8.5,0.5,0.5,2.45,0,0.3,12.25
2,01/10/2019 07:11:34 AM,01/10/2019 02:30:48 PM,1,5.15,1,N,48,13,2,18,0.5,0.5,0,0,0.3,19.3
2,01/12/2019 12:32:19 AM,01/12/2019 08:14:24 AM,1,11.62,1,N,236,200,1,37.5,1,0.5,10.48,2.64,0.3,52.42
2,01/12/2019 01:26:28 PM,01/12/2019 01:33:36 PM,1,1.32,1,N,140,237,1,7,0.5,0.5,1.66,0,0.3,9.96
2,01/12/2019 01:36:49 PM,01/12/2019 01:44:45 PM,1,1.35,1,N,236,262,2,7.5,0.5,0.5,0,0,0.3,8.8
2,01/12/2019 01:49:57 PM,01/12/2019 01:54:07 PM,1,0.79,1,N,262,236,2,5,0.5,0.5,0,0,0.3,6.3
2,01/13/2019 03:01:15 PM,01/13/2019 03:08:10 PM,2,1.05,1,N,114,107,1,6.5,0.5,0.5,1,0,0.3,8.8
2,01/13/2019 03:25:51 PM,01/13/2019 03:40:05 PM,2,3.47,1,N,162,7,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,01/16/2019 03:05:00 PM,01/16/2019 03:59:50 PM,5,16.78,2,N,132,164,1,52,4.5,0.5,11,5.76,0.3,74.06
2,01/18/2019 08:08:37 AM,01/18/2019 08:18:19 AM,1,1.66,1,N,142,237,1,8.5,0,0.5,2.32,0,0.3,11.62
2,01/18/2019 08:20:01 AM,01/18/2019 03:55:31 PM,1,6.06,1,N,237,231,1,25.5,0,0.5,5.26,0,0.3,31.56
2,01/18/2019 09:07:09 AM,01/18/2019 09:32:00 AM,5,8.21,1,N,138,263,1,26.5,1,0.5,8.52,5.76,0.3,42.58
2,01/19/2019 07:51:46 AM,01/19/2019 07:56:40 AM,1,0.69,1,N,237,142,1,5.5,0,0.5,0,0,0.3,6.3
2,01/19/2019 07:58:42 AM,01/19/2019 08:08:37 AM,1,0.99,1,N,142,163,1,7.5,0,0.5,1.66,0,0.3,9.96
2,01/19/2019 08:10:24 AM,01/19/2019 08:16:52 AM,1,0.76,1,N,163,142,1,6,0,0.5,1.36,0,0.3,8.16
2,01/19/2019 08:40:03 AM,01/19/2019 03:55:11 PM,1,1.9,1,N,237,239,1,10.5,0,0.5,1.2,0,0.3,12.5
2,01/19/2019 11:13:20 AM,01/19/2019 11:33:18 AM,1,1.29,1,N,162,100,1,12.5,0,0.5,2.66,0,0.3,15.96
2,01/19/2019 11:46:53 AM,01/19/2019 07:18:23 PM,1,1.73,1,N,186,162,2,18,0,0.5,0,0,0.3,18.8
2,01/20/2019 08:44:46 AM,01/20/2019 04:04:10 PM,5,8.82,1,N,138,141,1,26,0,0.5,8.14,5.76,0.3,40.7
2,01/20/2019 08:44:16 PM,01/20/2019 08:53:07 PM,2,1.24,1,N,114,79,2,7.5,0,0.5,0,0,0.3,8.3
2,01/22/2019 12:02:33 PM,01/22/2019 12:08:29 PM,1,0.72,1,N,4,148,1,5.5,0,0.5,1.13,0,0.3,9.38
2,01/22/2019 10:02:13 PM,01/22/2019 10:13:30 PM,6,2.56,1,N,141,234,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,01/22/2019 10:16:11 PM,01/22/2019 10:19:14 PM,6,0.59,1,N,234,164,2,4.5,0.5,0.5,0,0,0.3,5.8
2,01/22/2019 10:25:16 PM,01/22/2019 10:36:07 PM,6,3.61,1,N,48,24,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,01/22/2019 10:45:42 PM,01/23/2019 06:07:36 AM,1,5.64,1,N,239,231,2,19.5,0.5,0.5,0,0,0.3,20.8
2,01/23/2019 02:30:45 PM,01/23/2019 03:09:58 PM,1,3.75,1,N,249,237,1,23.5,0,0.5,6.08,0,0.3,30.38
2,01/23/2019 03:11:02 PM,01/23/2019 10:30:05 PM,1,1.09,1,N,237,162,1,11.5,0,0.5,2.46,0,0.3,14.76
2,01/26/2019 03:02:46 AM,01/26/2019 03:14:38 AM,1,1.73,1,N,237,230,2,9.5,0.5,0.5,0,0,0.3,10.8
2,01/26/2019 03:16:01 AM,01/26/2019 03:32:02 AM,1,0.8,1,N,230,186,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,01/29/2019 06:08:21 AM,01/29/2019 06:28:14 AM,1,1.53,1,N,143,237,1,12.5,0,0.5,3.99,0,0.3,17.29
2,01/29/2019 06:29:17 AM,01/29/2019 06:45:31 AM,1,1.45,1,N,163,50,1,11,0,0.5,2,0,0.3,13.8
2,01/29/2019 06:57:55 AM,01/29/2019 02:21:19 PM,1,2.61,1,N,239,162,2,15,0,0.5,0,0,0.3,15.8
2,01/29/2019 08:23:12 AM,01/29/2019 08:32:44 AM,2,2.18,1,N,141,74,2,9.5,0,0.5,0,0,0.3,10.3
2,01/29/2019 08:35:47 AM,01/29/2019 09:05:34 AM,2,2.04,1,N,74,41,2,18,0,0.5,0,0,0.3,18.8
2,01/29/2019 09:10:23 AM,01/29/2019 09:16:47 AM,2,1.81,1,N,43,151,2,7.5,0,0.5,0,0,0.3,8.3
